,item,price,Serial_Num,Date,time
1,[1개4개]루드모(루찌드림모자)-한풀셋-손오공풀셋-유령풍-미이라풍-중1,"62,000원",2019050711469850 ,20190507,23:23
2,[1개2개]-골스팟풍(골드스팟풍)팝니다,"120,000원",2019050711465760 ,20190507,23:22
3,[2개30개]꽃갈/곕8/나친/악날/천날/아블날/환빛날/자전거/우해얼/정보템많이팝니다,"6,000원",2019050711462490 ,20190507,23:22
4,[1개10개]봄꽃풍/슈뿔/높은음풍(음표풍)/빛향풍/수산타머리中1개팝니다,"5,000원",2019050711456950 ,20190507,23:21
5,>수탐험가셋+밧데리아셋팝니다,"100,000원",2019050711456950 ,20190507,23:21
6,루드모(루찌드림모자)급쳐팝니다,"59,000원",2019050711446900 ,20190507,23:20
7,달토멀(달토끼머리띠)-치파오옷-중1,"28,000원",2019050711443320 ,20190507,23:20
8,한배셋(한셋)-성연풍(성탄연결풍)-치파오풀셋(치파오셋)-중1,"52,000원",2019050711439780 ,20190507,23:20
9,[1개2개]전구배셋(전구배경+전구소품+전구깃)팝니다,"2,380,000원",2019050711436300 ,20190507,23:19
10,[1개2개]--비숑0차펫-팝니다,"160,000원",2019050711432600 ,20190507,23:19
11,@@@센고/센서고글@@@24시팝니다,"100,000원",2019050711429460 ,20190507,23:19
12,[1개5개]-파법-브라운배셋-럭마하트풀셋-중1-,"19,000원",2019050711428780 ,20190507,23:18
13,[1개9개]상어e-호박e-마회-연꽃풍-미러볼풍-사샘소품-소공녀셋-츄파추우풍,"7,000원",2019050711425350 ,20190507,23:18
14,-센고(센서고글)팝니다,"100,000원",2019050711422030 ,20190507,23:18
15,정실멤-(수치파오옷+치파오머리)-수하얀마녀풀셋(하얀마녀셋)-중1,"40,000원",2019050711418350 ,20190507,23:17
16,@스2물3센고/스핏2물풍3센고/스피드2물풍선3센고@팝니다,"420,000원",2019050711417210 ,20190507,23:17
17,-골웨날(골드웨이브날개)팝니다,"92,000원",2019050711413830 ,20190507,23:17
18,블스(블루스타물풍선)팝니다,"14,000원",2019050711409670 ,20190507,23:17
19,@파워업키트스2물3/스핏2물풍3/스피드2물풍선3@팝니다,"320,000원",2019050711409310 ,20190507,23:17
20,#NAME?,"127,000원",2019050711409120 ,20190507,23:17
21,[1개6개]말리3차/파편/학셋(학가+학모)/버블풍/산삼0차/럭띠일반고슴도치셋,"20,000원",2019050711407450 ,20190507,23:16
22,#NAME?,"42,000원",2019050711403930 ,20190507,23:16
23,[1개9개]빛향풍/전설풍/봄꽃풍/텐풍/선풍기/지브라/하늘배셋/멜로디/텐바,"5,000원",2019050711400460 ,20190507,23:15
24,#NAME?,"95,000원",2019050711397020 ,20190507,23:15
25,[1개2개]-손얼-수산타셋(수산타풀셋)--중1팝니다,"45,000원",2019050711393330 ,20190507,23:14
26,[1개9개]장샥(장미샤샥)/수마멜풀셋/옆집소녀셋(옆소셋)-한깃(한국깃발)중1,"24,500원",2019050711389850 ,20190507,23:14
27,[1개9개]옐배셋-수단아한셋-알바생표정-럭띠곰돌뀨옷+곰돌뀨안경안경-일반고슴도치셋중1,"30,000원",2019050711386190 ,20190507,23:14
28,[1개9개]ㅋㅋㅋ풍-봄바람-달빛풍-슈빵-아기오리풍-중1,"12,000원",2019050711382630 ,20190507,23:13
29,[1개9개]블스/미오깃/손오공셋/스쿨룩옷/중1,"15,000원",2019050711378870 ,20190507,23:13
30,-닼나배셋(닼나풀배셋)팝니다,"79,000원",2019050711375510 ,20190507,23:13
31,[1개9개]후우빨곰셋-여우꼬리-슈주깃-높은음풍-주사위풍-츄파추우풍-중1,"6,000원",2019050711372100 ,20190507,23:12
32,[1개9개]근둔-뿌까-마녀샥-대만배셋-나메풍-파삼풍-개굴쟁이풍-해태배경-강인배셋중1,"9,000원",2019050711368560 ,20190507,23:12
33,[1개9개]드라고니3-해피풍-와우풍-쵸풍-한복날개-카썬-지브라-로회-포크배셋쵸키배셋,"5,500원",2019050711363930 ,20190507,23:11
